phase,kind,step,train_loss,valid_loss,wall_s
adam_r0,iter,109,0.0020585367669960484,0.00386181602445985,944.2044088840485
adam_r0,iter,110,0.0020311047845871593,0.0038353758558067404,952.0051426887512
adam_r0,iter,111,0.0020045090109323898,0.0038092927680742324,960.8811883926392
adam_r0,iter,112,0.0019787123822536776,0.0037831923222732622,968.4329226016998
adam_r0,iter,113,0.0019538025556757165,0.0037572684409587368,976.2287881374359
adam_r0,iter,114,0.0019298597065491772,0.0037320511670441933,983.8864934444427
adam_r0,iter,115,0.0019067809266226827,0.0037079766819699167,991.7982878684998
adam_r0,iter,116,0.0018843672052137963,0.0036852070400108508,1000.1668808460236
adam_r0,iter,117,0.0018625266194014643,0.0036636825068164874,1008.1414725780487
adam_r0,iter,118,0.0018412848397325815,0.0036431559691663625,1016.5396027565002
adam_r0,iter,119,0.0018206469831561684,0.003623220862201668,1024.6381771564484
adam_r0,iter,120,0.001800556039306635,0.0036034805480481373,1032.631439447403
adam_r0,iter,121,0.0017809671194576582,0.0035837713257805257,1041.0343339443207
adam_r0,iter,122,0.001761881054668551,0.003564218792692111,1049.3345584869385
adam_r0,iter,123,0.0017433093111476642,0.0035451054387122937,1057.3530204296112
adam_r0,iter,124,0.0017252550954248533,0.0035266994186639476,1065.425945520401
adam_r0,iter,125,0.0017077165354147084,0.0035091339787415416,1073.5095059871674
adam_r0,iter,126,0.0016906694985285985,0.0034923507381587923,1081.758444070816
adam_r0,iter,127,0.0016740589696813662,0.0034761390262152913,1089.630842924118
adam_r0,iter,128,0.0016578356099525133,0.0034602670978786426,1097.2430369853973
adam_r0,iter,129,0.0016419883418653314,0.0034446004772330165,1105.030138015747
adam_r0,iter,130,0.0016265217256462247,0.003429116240927651,1112.8797602653503
adam_r0,iter,131,0.0016114197038119078,0.003413847910544343,1120.8493530750275
adam_r0,iter,132,0.0015966527363996772,0.0033988423109924336,1128.9360370635986
adam_r0,iter,133,0.001582205040561654,0.003384141708988002,1136.7884299755096
adam_r0,iter,134,0.001568074234212207,0.003369768255991331,1145.9549136161804
adam_r0,iter,135,0.0015542543728566506,0.003355721523944355,1154.4380972385406
adam_r0,iter,136,0.0015407350108408498,0.0033420021217084954,1162.2005515098572
adam_r0,iter,137,0.001527508280836568,0.0033286312900744283,1170.83389210701
adam_r0,iter,138,0.001514564106251548,0.003315637040206157,1179.1771712303162
adam_r0,iter,139,0.0015018854139481784,0.0033030259338005623,1187.9330024719238
adam_r0,iter,140,0.0014894582623041534,0.003290772682544461,1195.9348208904266
adam_r0,iter,141,0.0014772811161530577,0.003278827003450237,1203.6386888027191
adam_r0,iter,142,0.001465356259182104,0.0032671240188546454,1211.4674293994904
adam_r0,iter,143,0.0014536769076585313,0.0032556013240992304,1219.0287899971008
adam_r0,iter,144,0.001442229139855187,0.003244224555772437,1226.349068403244
adam_r0,iter,145,0.0014310020044540465,0.0032330015641689365,1234.3308460712433
adam_r0,iter,146,0.001419989610494919,0.003221967678683214,1242.1920492649078
adam_r0,iter,147,0.001409186340002872,0.0032111541988984046,1249.78134059906
adam_r0,iter,148,0.0013985854277857904,0.0032005665554321523,1257.2343726158142
adam_r0,iter,149,0.0013881809642072225,0.0031901835780617635,1264.5913789272308
